Latitude,Longitude,Route Number,Type,Crash Severity,Incident Date,Road Name,Score
38.025952,-78.519117,29,Arrest,,5/18/2013,0 250 BYPASS @ FONTAINE AVE,0.012304447
38.079633,-78.475713,29,Arrest,,4/24/2010,0 SEMINOLE TR @ FASHION SQUARE DR,0.012304447
38.100916,-78.461293,631,Arrest,,1/8/2011,0 E RIO RD/SEMINOLE TR,0.022779613
38.020884,-78.430554,250,Arrest,,2/6/2011,0 RICHMOND RD/I64,0.016825849
38.087333,-78.474828,29,Arrest,,6/12/2011,0 SEMINOLE TRL/RIO RD,0.012304447
38.075432,-78.498112,743,Arrest,,6/18/2011,0 HYDRAULIC RD & LAMBS RD,0.014030319
38.062215,-78.491635,29,Arrest,,7/25/2011,0 SEMINOLE TR @ HYDRAULIC RD,0.012304447
38.064628,-78.484061,29,Arrest,,3/3/2012,0 SEMINOLE TR / SEMINOLE CT,0.012304447
38.123249,-78.445516,29,Arrest,,3/26/2012,0 SEMINOLE TR/ASHWOOD BLVD,0.012304447
38.09362,-78.466943,29,Arrest,,6/17/2012,0 SEMINOLE TR @ CARRSBROOK DR,0.012304447
38.123249,-78.445516,29,Arrest,,10/6/2012,0 SEMINOLE TR,0.012304447
38.011213,-78.499139,631,Arrest,,10/7/2012,0 5TH ST/PINEHURST CT,0.022779613
38.021302,-78.43132,250,Arrest,,10/31/2012,0 RICHMOND RD @ I-64,0.016825849
38.141972,-78.465038,743,Arrest,,5/4/2013,0 EARLYSVILLE RD @ ENGLISH WALNUT WAY,0.014030319
38.051619,-78.673238,250,Arrest,,2/16/2014,0 ROCKFISH GAP TNPK AT I64,0.016825849
38.118411,-78.449188,29,Arrest,,4/16/2010,0 SEMINOLE TR @ RUBIN LN,0.012304447
38.042216,-78.510042,29,Arrest,,7/24/2010,0 29 BYPASS @ IVY RD,0.012304447
38.009339,-78.480065,20,Arrest,,8/12/2010,0 SCOTTSVILLE RD @ I64 N/B,0.030377569
38.143901,-78.427241,29,Arrest,,10/2/2010,0 SEMINOLE TRAIL @ CYPRESS DR,0.012304447
38.042216,-78.510042,29,Arrest,,6/24/2011,0 29/250 BYAPSS @ IVY RD,0.012304447
38.083505,-78.489315,631,Arrest,,7/5/2011,0 W RIO RD @ CRENSHAW CT,0.022779613
38.051149,-78.531395,250,Arrest,,7/14/2011,0 IVY RD @ WHITE GABLES LN,0.016825849
38.012074,-78.394027,250,Arrest,,11/11/2011,0 RICHMOND RD @ NORTH MILTON,0.016825849
38.102605,-78.460232,29,Arrest,,2/2/2013,0 SEMINOLE TR @ RIO MILLS,0.012304447
38.075567,-78.479646,29,Arrest,,2/10/2013,0 SEMINOLE TR @ DOMINION DR,0.012304447
38.013924,-78.39654,250,Arrest,,11/26/2014,0 RICHMOND RD @ LOUISA RD,0.016825849
38.039831,-78.506636,29,Arrest,,8/1/2015,0 250 BYPASS @ IVY RD,0.012304447
38.033689,-78.455033,250,Arrest,,5/1/2016,0 RICHMOND RD @ RIVERBEND DR,0.016825849
37.980157,-78.545105,631,Arrest,,8/10/2012,0 OLD LYNCHBURG RD @ DUDLEY MTN RD,0.022779613
38.062215,-78.491635,29,Arrest,,11/19/2013,0 SEMINOLE TR @ HYDRAULIC RD,0.012304447
38.068569,-78.467372,631,Arrest,,12/24/2013,0 E RIO RD @ HUNTINGTON RD,0.022779613
38.123249,-78.445516,631,Arrest,,8/4/2014,0 SEMINOLE TR 3 MI N OF E RIO RD,0.022779613
38.077713,-78.470672,631,Arrest,,9/27/2015,0 PUTT PUTT LN & E RIO RD,0.022779613
38.087917,-78.470486,29,Arrest,,12/17/2016,0 SEMINOLE TR @ WOODBROOK DR,0.012304447
38.076845,-78.474892,631,Arrest,,9/18/2011,0 RIO RD @ FASHION SQUARE DR,0.022779613
38.085934,-78.478572,631,Arrest,,9/19/2011,0 RIO RD @ BERKMAR DR,0.022779613
38.079741,-78.472751,631,Arrest,,10/8/2011,0 E RIO RD @ ALBEMARLE SQ,0.022779613
38.097066,-78.464677,29,Arrest,,10/16/2011,0 SEMINOLE TR @ SEMINOLE LN,0.012304447
37.849629,-78.549096,20,Arrest,,10/29/2011,0 SCOTTSVILLE RD @ RIDING CLUB RD,0.030377569
38.056107,-78.461857,631,Arrest,,10/30/2011,0 E RIO RD @ WALDORF SCHOOL RD,0.022779613
38.033689,-78.455033,250,Arrest,,12/3/2011,0 RICHMOND RD @ RIVERBEND DR,0.016825849
38.012074,-78.394027,729,Arrest,,2/26/2012,0 N MILTON RD @ RICHMOND RD,0.011018371
38.102559,-78.460004,29,Arrest,,3/3/2012,0 SEMINOLE TR @ POLO GROUNDS RD,0.012304447
